id	name	side	count	grouping	image	summary	tip	source_url
11	Three White Soldiers	Bullish	3	ต่อเนื่อง 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งเขียว 3 แท่งเรียงกัน เปิดใกล้ปิดแท่งก่อนหน้า แรงซื้อชัด	ใช้เป็นสัญญาณเริ่มเทรนด์ขึ้น	https://www.investopedia.com/terms/t/three_white_soldiers.asp
12	Three Black Crows	Bearish	3	ต่อเนื่อง 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแดง 3 แท่งเรียงกัน แรงขายชัดเจน	อย่าจับมีดหล่น ให้รอรีเทสก่อน	https://www.investopedia.com/terms/t/three_black_crows.asp
13	Bullish Harami	Bullish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งเขียวเล็กอยู่ในแท่งแดงก่อนหน้า แรงขายเริ่มหมด	ยืนยันด้วยแท่งเขียวถัดไปหรือวอลุ่มเพิ่ม	https://www.investopedia.com/terms/h/harami.asp
14	Bearish Harami	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแดงเล็กอยู่ในแท่งเขียวก่อนหน้า แรงซื้อเริ่มอ่อน	ดูให้เกิดใกล้แนวต้าน	https://www.investopedia.com/terms/h/harami.asp
15	Bullish Harami Cross	Bullish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	ลักษณะเดียวกับ Bullish Harami แต่แท่งในเป็นโดจิ	มักจะกลับตัวได้ดีหลังลงแรง	https://www.investopedia.com/
16	Bearish Harami Cross	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ลักษณะเดียวกับ Bearish Harami แต่แท่งในเป็นโดจิ	ใช้ยืนยันด้วยอินดิเคเตอร์โมเมนตัม	https://www.investopedia.com/
17	Dragonfly Doji	Neutral	1	โดจิ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2394a3b8' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2394a3b8'/></svg>	ราคาเปิด-ปิดเท่ากัน มีหางล่างยาว แรงซื้อดันกลับ	ถ้าเกิดหลังขาลงมักตีความเป็น bullish	https://www.investopedia.com/terms/d/dragonflydoji.asp
18	Gravestone Doji	Neutral	1	โดจิ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2394a3b8' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2394a3b8'/></svg>	ราคาเปิด-ปิดเท่ากัน มีหางบนยาว แรงขายดันกลับ	ถ้าเกิดบนยอดมักตีความเป็น bearish	https://www.investopedia.com/terms/g/gravestonedoji.asp
19	Long-Legged Doji	Neutral	1	โดจิ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2394a3b8' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2394a3b8'/></svg>	ไส้ยาวทั้งบนและล่าง ความไม่แน่นอนสูง	รอดูแท่งถัดไปยืนยันทาง	https://www.investopedia.com/terms/l/longleggeddoji.asp
20	Doji	Neutral	1	โดจิ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2394a3b8' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2394a3b8'/></svg>	เปิดเท่าปิด ไม่รู้จะไปทางไหน	อย่าดูเดี่ยวๆ ให้ดูบริบทแนวรับแนวต้าน	https://www.investopedia.com/terms/d/doji.asp
21	Spinning Top	Neutral	1	อื่นๆ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2394a3b8' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2394a3b8'/></svg>	ตัวเทียนเล็ก ไส้บนล่างยาว กำลังลังเล	ดูกับวอลุ่มและโซนราคา	https://www.investopedia.com/terms/s/spinning-top.asp
22	White Marubozu	Bullish	1	มารูโบซึ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งเขียวทึบไม่มีไส้ แรงซื้อเต็มแท่ง	มักต่อเนื่องถ้าไม่มีแนวต้านใกล้ๆ	https://www.investopedia.com/terms/m/marubozu.asp
23	Black Marubozu	Bearish	1	มารูโบซึ	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแดงทึบไม่มีไส้ แรงขายเต็มแท่ง	ใช้เป็นสัญญาณเริ่มลงได้	https://www.investopedia.com/terms/m/marubozu.asp
24	Rising Three Methods	Bullish	5	ต่อเนื่อง 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งขึ้นใหญ่ ตามด้วยแท่งย่อเล็กๆ แล้วปิดด้วยแท่งขึ้นอีก	สัญญาณพักตัวในเทรนด์ขึ้น	https://www.investopedia.com/terms/r/rising-three-methods.asp
25	Falling Three Methods	Bearish	5	ต่อเนื่อง 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ตรงข้ามกับ rising three methods ในเทรนด์ลง	ให้เทรดตามเทรนด์เดิม	https://www.investopedia.com/terms/f/falling-three-methods.asp
26	Upside Tasuki Gap	Bullish	3	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	เกิด gap ขึ้นและยังคงแนวโน้มขึ้น	ให้ดูว่า gap ไม่โดนปิด	https://www.investopedia.com/
27	Downside Tasuki Gap	Bearish	3	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	gap ลงและยังคงแนวโน้มลง	ห้ามให้แท่งหลังมาปิด gap	https://www.investopedia.com/
28	Kicking	Bullish	2	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	เกิด gap ตรงข้ามสีอย่างชัดเจน บ่งบอกแรงมาก	ใช้ดูการกลับตัวรุนแรง	https://www.investopedia.com/
29	Kicking Bearish	Bearish	2	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	เหมือนข้อ 28 แต่เป็นขาลง	อย่าฝืนเทรดสวน	https://www.investopedia.com/
30	Mat Hold	Bullish	5	ต่อเนื่อง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แพทเทิร์นต่อเนื่องในเทรนด์ขึ้น พักแล้วไปต่อ	มักใช้กับหุ้นที่ขึ้นแรง	https://www.investopedia.com/
31	Counterattack Bullish	Bullish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	ราคาเปิดกลับมาเท่าจุดปิดก่อนหน้า แรงซื้อสวน	ใช้ใกล้แนวรับจะดี	https://www.investopedia.com/
32	Counterattack Bearish	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ราคาเปิดกลับมาเท่าจุดปิดแต่เป็นฝั่งขาย	ใช้ใกล้แนวต้านจะดี	https://www.investopedia.com/
33	Tweezer Bottom	Bullish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	สองแท่งติดทำ low ใกล้กัน แรงขายเริ่มหมด	ดูร่วมกับแนวรับ	https://www.investopedia.com/
34	Tweezer Top	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	สองแท่งติดทำ high ใกล้กัน แรงซื้อเริ่มหมด	ดูร่วมกับแนวต้าน	https://www.investopedia.com/
35	Window Up	Bullish	1	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	ราคากระโดดขึ้นเป็นหน้าต่าง	โอกาสกลายเป็นแนวรับใหม่	https://www.investopedia.com/
36	Window Down	Bearish	1	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ราคากระโดดลงเป็นหน้าต่าง	โอกาสกลายเป็นแนวต้านใหม่	https://www.investopedia.com/
37	Stick Sandwich	Bullish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	สองแท่งแดงประกบแท่งเขียวที่ปิดราคาเท่ากัน แรงซื้อต้านอยู่	เจอบริเวณแนวรับยิ่งดี	https://www.investopedia.com/
38	Deliberation	Bearish	3	ต่อเนื่อง 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	สามแท่งขึ้นแล้วแท่งสุดท้ายอ่อน บอกใกล้พัก/กลับตัว	รอดูแท่งถัดไปยืนยัน	https://www.investopedia.com/
39	Three Inside Up	Bullish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งที่สอง-สามยืนยันการกลับตัวขึ้นจาก Harami	ใช้หลังจากลงชัดเจน	https://www.investopedia.com/
40	Three Inside Down	Bearish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ต่อจาก Bearish Harami แล้วมีแท่งลงยืนยัน	ใช้หลังจากขึ้นชัดเจน	https://www.investopedia.com/
41	Three Outside Up	Bullish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	Engulfing แล้วตามด้วยแท่งเขียวอีก ยืนยันแรงซื้อ	เหมาะใช้เปิดฝั่ง long	https://www.investopedia.com/
42	Three Outside Down	Bearish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	Bearish Engulfing แล้วตามด้วยแท่งแดงอีก ยืนยันแรงขาย	เหมาะใช้ปิดทำกำไรหรือ short	https://www.investopedia.com/
43	Abandoned Baby Bullish	Bullish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	มี gap ทิ้งโดจิไว้ตรงกลาง แล้วดันกลับขึ้น	หาไม่บ่อย แต่ค่อนข้างแรง	https://www.investopedia.com/
44	Abandoned Baby Bearish	Bearish	3	กลับตัว 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	เวอร์ชันกลับหัว ใช้ดูกลับตัวลง	ต้องมีช่องว่างชัดเจน	https://www.investopedia.com/
45	Doji Star Bullish	Bullish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งแรกลง แท่งสองเป็นโดจิแยกตัว มีโอกาสกลับขึ้น	ให้แท่งถัดไปปิดเขียวเหนือโดจิ	https://www.investopedia.com/
46	Doji Star Bearish	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแรกขึ้น แท่งสองโดจิแยกตัว มีโอกาสลง	ให้แท่งถัดไปปิดต่ำกว่าโดจิ	https://www.investopedia.com/
47	Advance Block	Bearish	3	ต่อเนื่อง 3 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ดูเหมือนขึ้นแต่แท่งถัดไปอ่อนลงเรื่อยๆ แรงซื้อหมด	สังเกตไส้บนยาวขึ้น	https://www.investopedia.com/
48	Thrusting Pattern	Bearish	2	กลับตัว 2 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแดงยาว ตามด้วยแท่งเขียวแต่ปิดต่ำกว่ากึ่งกลาง	จัดเป็นสัญญาณลงต่อ	https://www.investopedia.com/
49	Belt Hold Bullish	Bullish	1	กลับตัว 1 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	แท่งเขียวเปิดต่ำแล้วไต่ขึ้นทั้งแท่ง	ถ้าเกิดท้ายขาลงน่าสนใจมาก	https://www.investopedia.com/
50	Belt Hold Bearish	Bearish	1	กลับตัว 1 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	แท่งแดงเปิดสูงแล้วไหลลงทั้งแท่ง	ใช้ป้องกันการไล่ราคาตอนปลายเทรนด์	https://www.investopedia.com/
51	Ladder Bottom	Bullish	5	กลับตัว 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	รูปแบบกลับตัวจากลงเป็นขึ้นแบบหลายแท่ง	ใช้ยืนยันกับวอลุ่ม	https://www.investopedia.com/
52	Ladder Top	Bearish	5	กลับตัว 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	รูปแบบกลับตัวจากขึ้นเป็นลงแบบหลายแท่ง	ใช้ใกล้แนวต้าน	https://www.investopedia.com/
53	Rising Window	Bullish	1	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	ช่องว่างขึ้นในเทรนด์ขึ้น	จุด gap มักกลายเป็นแนวรับ	https://www.investopedia.com/
54	Falling Window	Bearish	1	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ช่องว่างลงในเทรนด์ลง	จุด gap มักกลายเป็นแนวต้าน	https://www.investopedia.com/
55	Breakaway Bullish	Bullish	5	กลับตัว 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%2310b981' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%2310b981'/></svg>	เป็นเซ็ตแท่งที่แสดงการตัดสินใจของตลาดกลับขึ้น	พิจารณาร่วมกับแนวโน้มใหญ่	https://www.investopedia.com/
56	Breakaway Bearish	Bearish	5	กลับตัว 5 แท่ง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	เป็นเซ็ตแท่งที่แสดงการตัดสินใจของตลาดกลับลง	พิจารณาร่วมกับแนวโน้มใหญ่	https://www.investopedia.com/
57	Concealing Baby Swallow	Bearish	4	ต่อเนื่อง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	ชุดเทียนที่กลืนโดจิระหว่างทางลง แรงขายยังคงอยู่	ใช้ยืนยันว่าลงต่อ	https://www.investopedia.com/
58	Upside Gap Two Crows	Bearish	3	ช่องว่าง	data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' width='80' height='80'><line x1='40' y1='8' x2='40' y2='72' stroke='%23ef4444' stroke-width='2'/><rect x='32' y='24' width='16' height='32' rx='4' fill='%23ef4444'/></svg>	เกิด gap ขึ้นแต่ตามด้วยแท่งแดง 2 แท่ง สัญญาณอ่อนแรง	มักพบในปลายขาขึ้น	https://www.investopedia.com/
